1,Hydrogen,H,1.008,0,0
2,Helium,He,4.003,0,17
3,Lithium,Li,6.940,1,0
4,Beryllium,Be,9.012,1,1
5,Boron,B,10.810,1,12
6,Carbon,C,12.011,1,13
7,Nitrogen,N,14.007,1,14
8,Oxygen,O,15.999,1,15
9,Fluorine,F,18.998,1,16
10,Neon,Ne,20.180,1,17
11,Sodium,Na,22.990,2,0
12,Magnesium,Mg,24.305,2,1
13,Aluminium,Al,26.982,2,12
14,Silicon,Si,28.085,2,13
15,Phosphorus,P,30.974,2,14
16,Sulfur,S,32.060,2,15
17,Chlorine,Cl,35.450,2,16
18,Argon,Ar,39.948,2,17
19,Potassium,K,39.098,3,0
20,Calcium,Ca,40.078,3,1
21,Scandium,Sc,44.956,3,2
22,Titanium,Ti,47.867,3,3
23,Vanadium,V,50.942,3,4
24,Chromium,Cr,51.996,3,5
25,Manganese,Mn,54.938,3,6
26,Iron,Fe,55.845,3,7
27,Cobalt,Co,58.933,3,8
28,Nickle,Ni,58.693,3,9
29,Copper,Cu,63.546,3,10
30,Zinc,Zn,65.380,3,11
31,Gallium,Ga,69.723,3,12
32,Germanium,Ge,72.630,3,13
33,Arsenic,As,74.922,3,14
34,Selenium,Se,78.971,3,15
35,Bromine,Br,79.904,3,16
36,Krypton,Kr,83.798,3,17
37,Rubidium,Rb,85.468,4,0
38,Strontium,Sr,87.620,4,1
39,Yttirum,Y,88.906,4,2
40,Zirconium,Zr,91.224,4,3
41,Niobium,Nb,92.906,4,4
42,Molybdenum,Mo,95.950,4,5
43,Technetium,Tc,98.000,4,6
44,Ruthenium,Ru,101.070,4,7
45,Rhodium,Rh,102.906,4,8
46,Palladium,Pd,106.420,4,9
47,Silver,Ag,107.868,4,10
48,Cadmium,Cd,112.414,4,11
49,Indium,In,114.818,4,12
50,Tin,Sn,118.710,4,13
51,Antimony,Sb,121.760,4,14
52,Tellurium,Te,127.600,4,15
53,Iodine,I,126.904,4,16
54,Xenon,Xe,131.293,4,17
55,Caesium,Cs,132.905,5,0
56,Barium,Ba,137.327,5,1
57,Lanthanum,La,138.905,8,2
58,Cerium,Ce,140.116,8,3
59,Praseodymium,Pr,140.908,8,4
60,Neodymium,Nd,144.242,8,5
61,Promethium,Pm,145.000,8,6
62,Samarium,Sm,150.360,8,7
63,Europium,Eu,151.964,8,8
64,Gadolinium,Gd,157.250,8,9
65,Terbium,Tb,158.925,8,10
66,Dysprosium,Dy,162.500,8,11
67,Holmium,Ho,164.930,8,12
68,Erbium,Er,167.259,8,13
69,Thulium,Tm,168.934,8,14
70,Ytterbium,Yb,173.054,8,15
71,Lutetium,Lu,174.967,8,16
72,Hafnium,Hf,178.490,5,3
73,Tantalum,Ta,180.948,5,4
74,Tungsten,W,183.840,5,5
75,Rhenium,Re,186.207,5,6
76,Osmium,Os,190.230,5,7
77,Iridium,Ir,192.217,5,8
78,Platinum,Pt,195.084,5,9
79,Gold,Au,196.967,5,10
80,Mercury,Hg,200.590,5,11
81,Thallium,Tl,204.380,5,12
82,Lead,Pb,207.200,5,13
83,Bismuth,Bi,208.980,5,14
84,Polonium,Po,209.000,5,15
85,Astatine,At,210.000,5,16
86,Radon,Rn,222.000,5,17
87,Francium,Fr,223.000,6,0
88,Radium,Ra,226.000,6,1
89,Actinium,Ac,227.000,9,2
90,Thorium,Th,232.038,9,3
91,Protactinium,Pa,231.036,9,4
92,Uranium,U,238.029,9,5
93,Neptunium,Np,237.000,9,6
94,Plutonium,Pu,244.000,9,7
95,Americium,Am,243.000,9,8
96,Curium,Cm,247.000,9,9
97,Berkelium,Bk,247.000,9,10
98,Californium,Cf,251.000,9,11
99,Einsteinium,Es,252.000,9,12
100,Fermium,Fm,257.000,9,13
101,Mendelevium,Md,258.000,9,14
102,Nobelium,No,259.000,9,15
103,Lawrencium,Lr,262.000,9,16
104,Rutherfordium,Rf,267.000,6,3
105,Dubnium,Db,268.000,6,4
106,Seaborgium,Sg,271.000,6,5
107,Bohrium,Bh,272.000,6,6
108,Hassium,Hs,270.000,6,7
109,Meitnerium,Mt,276.000,6,8
110,Darmstadtium,Ds,281.000,6,9
111,Roentgenium,Rg,280.000,6,10
112,Copernicium,Cn,285.000,6,11
113,Ununtrium,Uut,284.000,6,12
114,Flerovium,Fl,289.000,6,13
115,Ununpentium,Uup,288.000,6,14
116,Livermorium,Lv,293.000,6,15
117,Ununseptium,Uus,294.000,6,16
118,Ununoctium,Uuo,294.000,6,17
