Length,Nanometer,Micrometer,Millimeter,Centimeter,Meter,Kilometer,Inch,Foot,Yard,Mile,,
Nanometer,1,1.00E-03,1.00E-06,1.00E-07,1.00E-09,1.00E-12,3.94E-08,3.28E-09,1.09E-09,6.21E-13,,
Micrometer,,1,1.00E-03,1.00E-04,1.00E-06,1.00E-09,3.94E-05,3.28E-06,1.09E-06,6.21E-10,,
Millimeter,,,1,1.00E-01,1.00E-03,1.00E-06,0.0393701,0.00328084,0.00109361,6.21E-07,,
Centimeter,,,,1,1.00E-02,1.00E-05,0.393701,0.0328084,0.0109361,6.21E-06,,
Meter,,,,,1,1.00E-03,39.3701,3.28084,1.09361,0.000621371,,
Kilometer,,,,,,1,39370.1,3280.84,1093.61,0.621371,,
Inch,,,,,,,1,0.0833333,0.0277778,1.58E-05,,
Foot,,,,,,,,1,0.333333,0.000189394,,
Yard,,,,,,,,,1,0.000568182,,
Mile,,,,,,,,,,1,,
,,,,,,,,,,,,
Mass,Microgram,Milligram,Gram,Kilogram,Metric Ton,Ounce,Pound,,,,,
Microgram,1,1.00E-03,1.00E-06,1.00E-09,1.00E-12,3.53E-08,2.20E-09,,,,,
Milligram,,1,1.00E-03,1.00E-06,1.00E-09,3.53E-05,2.20E-06,,,,,
Gram,,,1,1.00E-03,1.00E-06,0.035274,0.00220462,,,,,
Kilogram,,,,1,1.00E-03,35.274,2.20462,,,,,
Metric Ton,,,,,1,35274,2204.62,,,,,
Ounce,,,,,,1,0.0625,,,,,
Pound,,,,,,,1,,,,,
,,,,,,,,,,,,
Pressure,Atmosphere,Bar,Pascal,PSI,Torr,,,,,,,
Atmosphere,1,1.01325,101325,14.6959,760,,,,,,,
Bar,,1,1.00E+05,14.5038,750.062,,,,,,,
Pascal,,,1,0.000145038,0.00750062,,,,,,,
PSI,,,,1,51.7149,,,,,,,
Torr,,,,,1,,,,,,,
,,,,,,,,,,,,
Speed,Miles per hour,Foot per second,Meter per second,Kilometer per hour,Knot,,,,,,,
Miles per hour,1,1.46667,0.44704,1.60934,0.868976,,,,,,,
Foot per second,,1,0.3048,1.09728,0.592484,,,,,,,
Meter per second,,,1,3.6,1.94384,,,,,,,
Kilometer per hour,,,,1,0.539957,,,,,,,
Knot,,,,,1,,,,,,,
,,,,,,,,,,,,
Energy,British thermal unit,Foot-pound,Gram calorie,Joule,Kilocalorie,Kilojoule,Kilowatt hour,US therm,Watt hour,,,
British thermal unit,1,7.78E+02,2.52E+02,1.06E+03,0.252164,1.05506,0.000293071,1.00E-05,0.293071,,,
Foot-pound,,1,0.324048,1.36E+00,0.000324048,0.00135582,3.77E-07,1.29E-08,0.000376616,,,
Gram calorie,,,1,4.184,0.001,0.004184,1.16E-06,3.97E-08,0.00116222,,,
Joule,,,,1,0.000239006,0.001,2.78E-07,9.48E-09,0.000277778,,,
Kilocalorie,,,,,1,4.184,0.00116222,3.97E-05,1.16222,,,
Kilojoule,,,,,,1,0.000277778,9.48E-06,0.277778,,,
Kilowatt hour,,,,,,,1,0.0341296,1000,,,
US therm,,,,,,,,1,29300.1,,,
Watt hour,,,,,,,,,1,,,
,,,,,,,,,,,,
Volume,Gallon,Quart,Pint,Cup,Fluid ounce,Tablespoon,Teaspoon,Cubic meter,Liter,Milliliter,Cubic foot,Cubic inch
Gallon,1,4,8,15.7726,127.998,255.996,767.988,0.00378541,3.78541,3785.41,0.133681,231.001
Quart,,1,2,3.94314,31.9995,63.999,191.997,0.000946353,0.946353,946.353,0.0334201,57.7502
Pint,,,1,1.97157,15.9997,31.9995,95.9985,0.000473176,0.473176,473.176,0.0167101,28.8751
Cup,,,,1,8.11537,16.2305,48.6914,0.00024,0.24,240,0.00847552,14.6458
Fluid ounce,,,,,1,2,6,2.96E-05,2.96E-02,2.96E+01,0.0010444,1.80472
Tablespoon,,,,,,1,3,1.48E-05,1.48E-02,1.48E+01,0.000522198,0.902362
Teaspoon,,,,,,,1,4.93E-06,4.93E-03,4.93E+00,0.000174066,0.300787
Cubic meter,,,,,,,,1,1000,1000000,35.3147,61024
Liter,,,,,,,,,1,1000,0.0353147,61.024
Milliliter,,,,,,,,,,1,3.53E-05,0.061024
Cubic foot,,,,,,,,,,,1,1728.01
Cubic inch,,,,,,,,,,,,1
,,,,,,,,,,,,
Time,Nanosecond,Microsecond,Millisecond,Second,Minute,Hour,Day,Week,Month,Year,Decade,Century
Nanosecond,1,1.00E-03,1.00E-06,1.00E-09,1.67E-11,2.78E-13,1.16E-14,1.65E-15,3.81E-16,3.17E-17,3.17E-18,3.17E-19
Microsecond,,1,0.001,1.00E-06,1.67E-08,2.78E-10,1.16E-11,1.65E-12,3.81E-13,3.17E-14,3.17E-15,3.17E-16
Millisecond,,,1,0.001,1.67E-05,2.78E-07,1.16E-08,1.65E-09,3.81E-10,3.17E-11,3.17E-12,3.17E-13
Second,,,,1,0.0166667,0.000277778,1.16E-05,1.65E-06,3.81E-07,3.17E-08,3.17E-09,3.17E-10
Minute,,,,,1,0.0166667,0.000694444,9.92E-05,2.28E-05,1.90E-06,1.90E-07,1.90E-08
Hour,,,,,,1,0.0416667,0.00595238,0.00136986,0.000114155,1.14E-05,1.14E-06
Day,,,,,,,1,0.142857,0.0328767,0.00273973,0.000273973,2.74E-05
Week,,,,,,,,1,0.230137,0.0191781,0.00191781,0.000191781
Month,,,,,,,,,1,0.0833334,0.00833334,0.000833334
Year,,,,,,,,,,1,0.1,0.01
Decade,,,,,,,,,,,1,0.1
Century,,,,,,,,,,,,1
,,,,,,,,,,,,
